loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
125.752	125.455	1.6780803203582764	0	21.2076271186	11.492596414	85.0	8.0	21.2076271186	11.492596414	5005	5005
144.507	144.36	2.977388381958008	1	22.0748898678	12.6197745102	88.0	9.0	22.0748898678	12.6197745102	5011	10016
110.103	109.787	5.984331369400024	2	20.7644628099	10.6191730507	74.0	9.0	20.7644628099	10.6191730507	5025	15041
104.343	104.511	7.358198404312134	3	20.5925925926	10.3129361944	68.0	9.0	20.5925925926	10.3129361944	5004	20045
78.0598	78.0326	8.69277048110962	4	18.9772727273	8.34934756033	56.0	8.0	18.9772727273	8.34934756033	5010	25055
80.1199	80.1615	10.0943763256073	5	18.9545454545	8.53146017234	61.0	8.0	18.9545454545	8.53146017234	5004	30059
67.6608	67.5587	11.33206057548523	6	17.7208480565	7.77850326616	64.0	8.0	17.7208480565	7.77850326616	5015	35074
78.2329	78.2778	16.217419862747192	7	17.6408450704	8.71645808453	67.0	8.0	17.6408450704	8.71645808453	5010	40084
77.7295	77.6863	17.384134531021118	8	18.2391304348	8.90330857556	59.0	8.0	18.2391304348	8.90330857556	5034	45118
76.4516	76.445	19.24284553527832	9	17.846975089	8.35860413537	74.0	8.0	17.846975089	8.35860413537	5015	50133
57.514	57.5011	22.655292510986328	10	17.0272108844	7.01693343319	47.0	8.0	17.0272108844	7.01693343319	5006	55139
64.2258	64.2238	23.759966373443604	11	17.3737024221	7.47166276163	60.0	8.0	17.3737024221	7.47166276163	5021	60160
78.2727	78.2671	25.01612639427185	12	18.4264705882	8.66970074874	57.0	8.0	18.4264705882	8.66970074874	5012	65172
65.0947	65.0939	26.239489316940308	13	17.3702422145	7.65460805716	51.0	8.0	17.3702422145	7.65460805716	5020	70192
71.0514	71.0336	27.469990015029907	14	17.6996466431	8.23323222977	59.0	8.0	17.6996466431	8.23323222977	5009	75201
81.8935	81.8521	32.80326461791992	15	18.3065693431	8.84585105749	83.0	8.0	18.3065693431	8.84585105749	5016	80217
63.3774	63.3831	34.18543004989624	16	17.3068965517	7.42727643192	60.0	8.0	17.3068965517	7.42727643192	5019	85236
65.8022	65.7849	35.3795108795166	17	17.3460207612	7.88134276316	53.0	8.0	17.3460207612	7.88134276316	5013	90249
76.5935	76.5899	36.79893517494202	18	18.3897058824	8.57893520929	56.0	8.0	18.3897058824	8.57893520929	5002	95251
82.6498	82.631	39.76418352127075	19	18.1485507246	9.09708294947	69.0	8.0	18.1485507246	9.09708294947	5009	100260
61.2832	61.2632	41.42927598953247	20	17.3321799308	7.20152586836	48.0	8.0	17.3321799308	7.20152586836	5009	105269
68.0038	67.8849	42.66256022453308	21	17.8607142857	8.08560622719	62.0	8.0	17.8607142857	8.08560622719	5001	110270
66.9452	66.9606	44.407854318618774	22	17.3680555556	7.68769446708	69.0	8.0	17.3680555556	7.68769446708	5002	115272
74.789	74.7839	45.84958505630493	23	17.1609589041	8.68541426751	69.0	8.0	17.1609589041	8.68541426751	5011	120283
51.6664	51.6406	51.88093066215515	24	16.3660130719	6.47039677541	44.0	8.0	16.3660130719	6.47039677541	5008	125291
55.4089	55.3916	53.400439977645874	25	16.5629139073	7.02556934502	47.0	8.0	16.5629139073	7.02556934502	5002	130293
58.4281	58.4658	56.01858401298523	26	16.8451178451	7.12440568042	48.0	8.0	16.8451178451	7.12440568042	5003	135296
63.1388	63.137	57.29659938812256	27	16.1516129032	7.7575923671	74.0	8.0	16.1516129032	7.7575923671	5007	140303
51.1738	51.1732	58.65817213058472	28	16.164516129	6.53788208713	43.0	8.0	16.164516129	6.53788208713	5011	145314
64.1644	64.1572	60.145554065704346	29	16.8154362416	8.03742274657	64.0	8.0	16.8154362416	8.03742274657	5011	150325
60.8138	60.8095	65.4502923488617	30	16.7233333333	7.80214429215	55.0	8.0	16.7233333333	7.80214429215	5017	155342
59.9353	59.9267	66.72808074951172	31	16.5032894737	7.48858708621	75.0	8.0	16.5032894737	7.48858708621	5017	160359
67.6556	67.5758	67.92544603347778	32	16.7852348993	7.90256415645	73.0	8.0	16.7852348993	7.90256415645	5002	165361
44.3411	44.3486	69.57155704498291	33	15.5403726708	5.94226235105	37.0	8.0	15.5403726708	5.94226235105	5004	170365
74.5443	74.4821	70.94685220718384	34	16.8552188552	8.67458348795	78.0	8.0	16.8552188552	8.67458348795	5006	175371
61.0802	61.0896	72.16146898269653	35	17.0578231293	7.53360205261	53.0	8.0	17.0578231293	7.53360205261	5015	180386
61.0336	61.0636	73.56431770324707	36	17.3	7.46322016106	50.0	8.0	17.3	7.46322016106	5017	185403
62.0082	61.981	74.88489413261414	37	16.9593220339	7.45506581594	54.0	8.0	16.9593220339	7.45506581594	5003	190406
68.8687	68.8636	79.28320908546448	38	16.8787878788	8.40987802304	58.0	8.0	16.8787878788	8.40987802304	5013	195419
