loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
189.855	189.998	1.9001874923706055	0	24.6354679803	14.8657414587	99.0	8.0	24.6354679803	14.8657414587	5001	5001
184.928	184.881	3.4098165035247803	1	24.3951219512	14.7451513522	93.0	9.0	24.3951219512	14.7451513522	5001	10002
208.469	208.276	4.942357063293457	2	28.6079545455	15.4699027557	92.0	9.0	28.6079545455	15.4699027557	5035	15037
257.436	257.169	6.54108452796936	3	29.9642857143	17.7371324443	107.0	9.0	29.9642857143	17.7371324443	5034	20071
269.922	269.272	8.372035026550293	4	30.9085365854	18.3634758202	94.0	9.0	30.9085365854	18.3634758202	5069	25140
308.023	307.967	10.170642375946045	5	33.1447368421	20.0136163829	106.0	10.0	33.1447368421	20.0136163829	5038	30178
277.531	277.574	12.032771348953247	6	32.8888888889	18.139818461	108.0	9.0	32.8888888889	18.139818461	5032	35210
282.686	282.781	13.713935613632202	7	34.8819444444	18.3898736204	101.0	9.0	34.8819444444	18.3898736204	5023	40233
257.709	257.582	15.403895378112793	8	33.1258278146	17.2386077693	97.0	11.0	33.1258278146	17.2386077693	5002	45235
265.548	265.397	17.159754514694214	9	34.5862068966	17.1076051678	107.0	11.0	34.5862068966	17.1076051678	5015	50250
293.262	293.065	19.82727885246277	10	35.514084507	18.8947179129	100.0	9.0	35.514084507	18.8947179129	5043	55293
278.384	278.292	22.44025444984436	11	34.2108843537	18.0860495314	109.0	12.0	34.2108843537	18.0860495314	5029	60322
449.089	448.745	24.409266471862793	12	36.3956834532	22.9342565882	200.0	11.0	36.3956834532	22.9342565882	5059	65381
297.965	297.678	26.10339593887329	13	36.071942446	18.4580567844	110.0	12.0	36.071942446	18.4580567844	5014	70395
337.539	337.799	28.007184505462646	14	37.4552238806	20.1504104146	111.0	11.0	37.4552238806	20.1504104146	5019	75414
267.448	267.419	29.687413215637207	15	33.8389261745	17.4901955715	124.0	10.0	33.8389261745	17.4901955715	5042	80456
292.021	292.013	31.56459617614746	16	36.8088235294	18.2279337612	102.0	10.0	36.8088235294	18.2279337612	5006	85462
316.523	316.52	33.467854738235474	17	37.8947368421	19.6328186026	97.0	10.0	37.8947368421	19.6328186026	5040	90502
261.413	261.374	35.31395101547241	18	34.7793103448	17.2963894839	92.0	11.0	34.7793103448	17.2963894839	5043	95545
307.677	307.606	37.01001334190369	19	37.6466165414	18.9225550615	107.0	12.0	37.6466165414	18.9225550615	5007	100552
319.569	319.496	38.65553402900696	20	39.265625	18.9759240449	100.0	11.0	39.265625	18.9759240449	5026	105578
273.593	273.557	40.81893587112427	21	36.1571428571	16.8744402779	107.0	12.0	36.1571428571	16.8744402779	5062	110640
281.118	280.872	42.78612804412842	22	34.7916666667	17.9566897933	119.0	9.0	34.7916666667	17.9566897933	5010	115650
290.225	289.964	44.419633626937866	23	38.0757575758	17.3085288191	101.0	9.0	38.0757575758	17.3085288191	5026	120676
218.751	218.663	45.878746509552	24	32.9934210526	15.0024106442	87.0	13.0	32.9934210526	15.0024106442	5015	125691
261.992	261.932	47.56744384765625	25	34.8888888889	17.0973971017	99.0	11.0	34.8888888889	17.0973971017	5024	130715
259.515	259.582	49.29737591743469	26	35.0979020979	17.1118552473	88.0	10.0	35.0979020979	17.1118552473	5019	135734
212.713	212.76	51.55891704559326	27	33.0986842105	14.6020726126	95.0	11.0	33.0986842105	14.6020726126	5031	140765
240.706	240.701	53.23348569869995	28	31.949044586	16.7589870095	96.0	9.0	31.949044586	16.7589870095	5016	145781
197.138	197.109	54.793312072753906	29	29.5	14.7010403794	102.0	10.0	29.5	14.7010403794	5015	150796
254.752	254.586	57.285892724990845	30	34.3150684932	16.5540846363	97.0	10.0	34.3150684932	16.5540846363	5010	155806
256.883	256.824	59.95514512062073	31	32.0641025641	17.17021851	117.0	10.0	32.0641025641	17.17021851	5002	160808
233.778	233.59	62.40652942657471	32	32.3032258065	15.9860318841	106.0	9.0	32.3032258065	15.9860318841	5007	165815
217.292	217.229	64.14069938659668	33	30.0898203593	15.8963055804	97.0	9.0	30.0898203593	15.8963055804	5025	170840
