loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
149.402	148.656	0.5562756061553955	0	18.9074074074	8.43552566699	45.0	8.0	18.9074074074	8.43552566699	1021	1021
246.937	246.158	0.959341287612915	1	20.7142857143	12.1436974499	65.0	9.0	20.7142857143	12.1436974499	1015	2036
123.97	123.684	1.2479016780853271	2	17.8947368421	7.54096231591	37.0	9.0	17.8947368421	7.54096231591	1020	3056
416.202	411.122	1.6233181953430176	3	19.5769230769	14.5580352566	108.0	8.0	19.5769230769	14.5580352566	1018	4074
189.383	189.226	1.907597303390503	4	20.36	10.3494154424	48.0	9.0	20.36	10.3494154424	1018	5092
115.575	115.376	2.1677041053771973	5	17.2203389831	7.47893719589	43.0	8.0	17.2203389831	7.47893719589	1016	6108
161.674	161.403	2.4998960494995117	6	18.6111111111	9.60018646938	48.0	9.0	18.6111111111	9.60018646938	1005	7113
133.436	133.303	2.7644119262695312	7	17.8421052632	8.20737681384	54.0	9.0	17.8421052632	8.20737681384	1017	8130
250.39	250.601	3.076608657836914	8	22.152173913	11.9926923244	67.0	9.0	22.152173913	11.9926923244	1019	9149
98.6282	98.5448	3.323303699493408	9	16.5409836066	6.11521555856	34.0	9.0	16.5409836066	6.11521555856	1009	10158
134.932	134.876	3.5881664752960205	10	19.3269230769	8.1635238287	42.0	10.0	19.3269230769	8.1635238287	1005	11163
167.969	168.01	4.015598297119141	11	19.0740740741	9.63760353617	51.0	8.0	19.0740740741	9.63760353617	1030	12193
248.644	248.328	4.423399925231934	12	19.0943396226	12.8375395147	72.0	9.0	19.0943396226	12.8375395147	1012	13205
132.764	132.75	4.81558632850647	13	17.9473684211	8.16157245907	45.0	8.0	17.9473684211	8.16157245907	1023	14228
163.499	163.396	5.106573820114136	14	19.0754716981	9.67168412605	44.0	9.0	19.0754716981	9.67168412605	1011	15239
145.475	145.428	5.36519718170166	15	19.3653846154	8.74209279238	46.0	8.0	19.3653846154	8.74209279238	1007	16246
166.476	166.433	5.6696131229400635	16	20.5510204082	9.64272216729	44.0	8.0	20.5510204082	9.64272216729	1007	17253
106.806	106.773	5.924465179443359	17	17.5964912281	6.68294411726	42.0	10.0	17.5964912281	6.68294411726	1003	18256
186.829	186.458	6.210981607437134	18	19.6862745098	11.0337986918	58.0	10.0	19.6862745098	11.0337986918	1004	19260
129.211	129.215	6.532072067260742	19	16.8548387097	8.46595987392	45.0	8.0	16.8548387097	8.46595987392	1045	20305
188.472	188.519	6.855180263519287	20	19.1111111111	10.4627499159	68.0	9.0	19.1111111111	10.4627499159	1032	21337
156.876	156.844	7.142117261886597	21	17.6666666667	9.65607405118	60.0	9.0	17.6666666667	9.65607405118	1007	22344
210.249	210.18	7.486936330795288	22	20.0	11.4378113908	60.0	8.0	20.0	11.4378113908	1020	23364
163.44	163.352	7.926836252212524	23	18.7222222222	9.89653262636	65.0	8.0	18.7222222222	9.89653262636	1011	24375
110.473	110.476	8.247380018234253	24	16.8333333333	7.29649839916	41.0	9.0	16.8333333333	7.29649839916	1010	25385
87.1338	87.0033	8.607702016830444	25	16.3064516129	6.23359449372	37.0	8.0	16.3064516129	6.23359449372	1011	26396
144.123	144.054	9.065055847167969	26	19.1132075472	9.13971300767	47.0	9.0	19.1132075472	9.13971300767	1013	27409
161.41	161.392	9.32504677772522	27	18.2181818182	9.99761955138	49.0	8.0	18.2181818182	9.99761955138	1002	28411
112.739	112.77	9.635143756866455	28	16.4918032787	7.61496143994	51.0	9.0	16.4918032787	7.61496143994	1006	29417
139.509	139.201	10.023788690567017	29	18.2	8.82228583037	63.0	9.0	18.2	8.82228583037	1001	30418
124.883	124.716	10.313159227371216	30	17.7068965517	8.90565225532	43.0	8.0	17.7068965517	8.90565225532	1027	31445
144.041	143.591	10.682261943817139	31	17.7543859649	9.44100927877	67.0	9.0	17.7543859649	9.44100927877	1012	32457
103.377	103.381	10.940170049667358	32	16.5	7.29725975966	43.0	9.0	16.5	7.29725975966	1023	33480
109.161	109.305	11.200683832168579	33	15.552238806	7.91424859406	49.0	8.0	15.552238806	7.91424859406	1042	34522
82.5658	82.6186	11.538420677185059	34	15.78125	6.19593805953	37.0	9.0	15.78125	6.19593805953	1010	35532
93.6594	93.6902	11.856267213821411	35	15.6875	7.59908506006	46.0	8.0	15.6875	7.59908506006	1004	36536
85.8284	85.7977	12.103163242340088	36	16.1451612903	6.98118848878	35.0	9.0	16.1451612903	6.98118848878	1001	37537
52.1163	52.1027	12.453188419342041	37	13.8356164384	4.36051303576	28.0	8.0	13.8356164384	4.36051303576	1010	38547
67.8246	67.7376	12.788234233856201	38	15.2878787879	6.07968587584	34.0	8.0	15.2878787879	6.07968587584	1009	39556
68.4925	68.4991	13.14355206489563	39	14.5507246377	5.75221754815	37.0	8.0	14.5507246377	5.75221754815	1004	40560
80.7949	80.8251	13.526845932006836	40	14.7205882353	6.57053491473	47.0	9.0	14.7205882353	6.57053491473	1001	41561
70.1894	70.2305	13.805111408233643	41	15.6461538462	5.38496702149	32.0	9.0	15.6461538462	5.38496702149	1017	42578
71.8639	71.8392	14.04958987236023	42	14.5797101449	6.63413613327	49.0	8.0	14.5797101449	6.63413613327	1006	43584
78.5308	78.5479	14.340094327926636	43	14.7971014493	6.47532598954	44.0	8.0	14.7971014493	6.47532598954	1021	44605
60.9908	60.9634	14.648375749588013	44	14.3571428571	5.89439373906	41.0	9.0	14.3571428571	5.89439373906	1005	45610
80.6756	80.6626	14.966121435165405	45	15.0447761194	6.81620727871	36.0	8.0	15.0447761194	6.81620727871	1008	46618
80.6348	80.6222	15.282075643539429	46	14.5072463768	7.16396616813	47.0	8.0	14.5072463768	7.16396616813	1001	47619
51.1075	51.0946	15.58566164970398	47	14.7101449275	4.86663127625	29.0	8.0	14.7101449275	4.86663127625	1015	48634
63.4555	63.46	15.892181873321533	48	15.0147058824	4.85220582664	34.0	9.0	15.0147058824	4.85220582664	1021	49655
62.9021	62.8991	16.16274070739746	49	15.0	5.69829695921	40.0	9.0	15.0	5.69829695921	1020	50675
55.4071	55.3956	16.434332847595215	50	13.9583333333	4.7300384659	29.0	8.0	13.9583333333	4.7300384659	1005	51680
47.8998	47.9022	16.789398431777954	51	13.7671232877	4.56166440408	28.0	8.0	13.7671232877	4.56166440408	1005	52685
58.7596	58.6251	17.062535285949707	52	14.9552238806	6.54817471621	38.0	8.0	14.9552238806	6.54817471621	1002	53687
82.1517	82.1565	17.332958221435547	53	16.4754098361	6.71579141578	35.0	9.0	16.4754098361	6.71579141578	1005	54692
70.9231	70.8134	17.582160472869873	54	15.65625	7.00941052711	46.0	9.0	15.65625	7.00941052711	1002	55694
62.7372	62.7197	17.823477268218994	55	14.5797101449	5.79956469406	34.0	8.0	14.5797101449	5.79956469406	1006	56700
70.5791	70.6032	18.107837200164795	56	14.9552238806	6.42158867176	42.0	8.0	14.9552238806	6.42158867176	1002	57702
63.1912	63.1547	18.349251985549927	57	15.1044776119	6.17199822104	32.0	8.0	15.1044776119	6.17199822104	1012	58714
58.6913	58.7236	18.59004259109497	58	14.75	4.96272873232	30.0	8.0	14.75	4.96272873232	1003	59717
40.7823	40.6834	18.92112684249878	59	13.1842105263	5.3771214328	33.0	8.0	13.1842105263	5.3771214328	1002	60719
63.114	63.1318	19.320074558258057	60	15.3181818182	5.45826893113	33.0	8.0	15.3181818182	5.45826893113	1011	61730
54.6747	54.6512	19.58036208152771	61	14.3571428571	5.91375083848	37.0	8.0	14.3571428571	5.91375083848	1005	62735
41.0783	40.9407	19.842113494873047	62	13.6891891892	5.0321283329	29.0	8.0	13.6891891892	5.0321283329	1013	63748
64.384	64.3797	20.145044326782227	63	14.9117647059	6.42315502033	40.0	8.0	14.9117647059	6.42315502033	1014	64762
47.0519	47.0861	20.416892766952515	64	13.6081081081	4.66967667023	30.0	8.0	13.6081081081	4.66967667023	1007	65769
51.2538	51.2613	20.68799114227295	65	13.0	5.01944271755	42.0	8.0	13.0	5.01944271755	1001	66770
48.1502	48.1306	20.945239305496216	66	13.8630136986	4.66204455264	28.0	8.0	13.8630136986	4.66204455264	1012	67782
61.169	61.012	21.217854022979736	67	14.1971830986	5.62093601125	41.0	9.0	14.1971830986	5.62093601125	1008	68790
44.8082	44.7766	21.542824506759644	68	14.0	4.42595086912	29.0	8.0	14.0	4.42595086912	1022	69812
61.0379	60.9956	21.780264854431152	69	13.9166666667	6.07305067033	38.0	8.0	13.9166666667	6.07305067033	1002	70814
46.9178	46.9062	22.062801122665405	70	13.7260273973	4.88290356572	32.0	8.0	13.7260273973	4.88290356572	1002	71816
36.7884	36.8287	22.41610550880432	71	13.2105263158	4.30824115252	31.0	8.0	13.2105263158	4.30824115252	1004	72820
55.433	55.4516	22.67272663116455	72	13.7945205479	5.38124318302	41.0	8.0	13.7945205479	5.38124318302	1007	73827
64.0423	64.037	23.039714336395264	73	14.1267605634	6.48927517701	47.0	8.0	14.1267605634	6.48927517701	1003	74830
65.5418	65.4466	23.304590463638306	74	13.7397260274	5.9886362645	44.0	9.0	13.7397260274	5.9886362645	1003	75833
66.2592	66.2746	23.605537176132202	75	14.3714285714	6.28870058931	45.0	8.0	14.3714285714	6.28870058931	1006	76839
64.2031	64.1424	23.95249843597412	76	13.9444444444	5.99742743203	36.0	8.0	13.9444444444	5.99742743203	1004	77843
58.1707	58.1699	24.233085870742798	77	14.6376811594	5.84577393369	42.0	8.0	14.6376811594	5.84577393369	1010	78853
78.3062	78.3188	24.49401617050171	78	15.0149253731	6.86434120789	43.0	8.0	15.0149253731	6.86434120789	1006	79859
41.4442	41.4478	24.787544012069702	79	13.25	3.82211363405	27.0	9.0	13.25	3.82211363405	1007	80866
40.68	40.6485	25.14403748512268	80	13.4266666667	3.96038157533	27.0	9.0	13.4266666667	3.96038157533	1007	81873
63.0408	63.0269	25.412662982940674	81	14.7647058824	5.87896961525	34.0	8.0	14.7647058824	5.87896961525	1004	82877
65.0247	65.0084	25.662378311157227	82	14.6086956522	6.56785626973	46.0	8.0	14.6086956522	6.56785626973	1008	83885
61.3684	61.2949	25.904385805130005	83	15.2686567164	5.48697804318	35.0	9.0	15.2686567164	5.48697804318	1023	84908
70.331	70.1134	26.28597092628479	84	14.2253521127	6.45940123484	48.0	8.0	14.2253521127	6.45940123484	1010	85918
56.8664	56.7969	26.605794191360474	85	14.5217391304	5.65072445183	42.0	8.0	14.5217391304	5.65072445183	1002	86920
41.8975	41.8016	26.91879940032959	86	13.7671232877	4.22491159977	26.0	8.0	13.7671232877	4.22491159977	1005	87925
55.6724	55.5418	27.25080680847168	87	14.7794117647	6.08238920799	34.0	8.0	14.7794117647	6.08238920799	1005	88930
48.9484	48.9104	27.592528104782104	88	13.8219178082	5.11335202433	38.0	8.0	13.8219178082	5.11335202433	1009	89939
80.374	80.2147	27.93392777442932	89	14.6086956522	7.28949490567	42.0	8.0	14.6086956522	7.28949490567	1008	90947
55.2707	55.2976	28.190917015075684	90	15.0597014925	5.91956179554	31.0	8.0	15.0597014925	5.91956179554	1009	91956
69.161	69.2427	28.43670082092285	91	14.5942028986	6.98511635204	45.0	8.0	14.5942028986	6.98511635204	1007	92963
44.9602	44.936	28.77961754798889	92	13.44	5.6029516031	45.0	8.0	13.44	5.6029516031	1008	93971
46.9658	46.969	29.108516454696655	93	13.9305555556	5.85312449535	38.0	8.0	13.9305555556	5.85312449535	1003	94974
46.2027	46.2344	29.64678645133972	94	13.164556962	5.59029534273	41.0	8.0	13.164556962	5.59029534273	1040	96014
39.4207	39.4462	29.932592391967773	95	13.038961039	4.45596509127	27.0	8.0	13.038961039	4.45596509127	1004	97018
37.5222	37.4447	30.225477695465088	96	13.8356164384	4.83427743501	30.0	8.0	13.8356164384	4.83427743501	1010	98028
26.7235	26.706	30.454386949539185	97	12.625	3.82222121286	27.0	8.0	12.625	3.82222121286	1010	99038
30.5975	30.605	30.814285278320312	98	12.55	4.03391869031	34.0	9.0	12.55	4.03391869031	1004	100042
38.0558	38.0678	31.06445574760437	99	13.4266666667	4.92929564497	34.0	8.0	13.4266666667	4.92929564497	1007	101049
