loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
127.659	127.339	0.3906993865966797	0	23.2045454545	11.6571857384	57.0	9.0	23.2045454545	11.6571857384	1021	1021
176.185	174.426	0.6914169788360596	1	25.8461538462	14.1485497337	72.0	9.0	25.8461538462	14.1485497337	1008	2029
165.916	165.965	0.9911694526672363	2	24.880952381	13.8395609292	64.0	9.0	24.880952381	13.8395609292	1045	3074
132.189	132.061	1.2687830924987793	3	22.4666666667	12.281150869	59.0	10.0	22.4666666667	12.281150869	1011	4085
93.619	93.1963	1.657196044921875	4	20.28	9.34032119362	62.0	11.0	20.28	9.34032119362	1014	5099
97.41	97.5706	1.9886324405670166	5	19.1320754717	9.96794434978	65.0	9.0	19.1320754717	9.96794434978	1014	6113
74.9821	74.7315	2.22434663772583	6	19.2692307692	8.29762566738	46.0	9.0	19.2692307692	8.29762566738	1002	7115
57.9443	57.9657	2.524916887283325	7	16.5245901639	7.18515445235	37.0	8.0	16.5245901639	7.18515445235	1008	8123
63.8565	63.6134	2.8016302585601807	8	17.701754386	7.84938239224	39.0	9.0	17.701754386	7.84938239224	1009	9132
77.1464	76.9582	3.174494981765747	9	18.25	9.32019696297	44.0	9.0	18.25	9.32019696297	1022	10154
67.827	68.0496	3.549675226211548	10	16.2580645161	8.24804079155	48.0	8.0	16.2580645161	8.24804079155	1008	11162
54.2964	54.2873	3.85577654838562	11	17.1525423729	6.95947971785	41.0	9.0	17.1525423729	6.95947971785	1012	12174
51.077	51.0184	4.155352592468262	12	16.3387096774	7.08005729061	41.0	9.0	16.3387096774	7.08005729061	1013	13187
42.6036	42.6584	4.44124960899353	13	14.9701492537	5.97999188652	36.0	9.0	14.9701492537	5.97999188652	1003	14190
52.4218	52.4392	4.734009027481079	14	16.606557377	7.14551031463	44.0	8.0	16.606557377	7.14551031463	1013	15203
52.7741	52.7724	4.968212127685547	15	15.671875	7.2780807212	46.0	9.0	15.671875	7.2780807212	1003	16206
52.2708	52.2806	5.200070142745972	16	16.3548387097	7.13486843289	40.0	8.0	16.3548387097	7.13486843289	1014	17220
42.0063	41.9408	5.428670883178711	17	15.796875	6.27041587412	38.0	8.0	15.796875	6.27041587412	1011	18231
54.6332	54.5803	5.663808822631836	18	17.0847457627	8.004846277	54.0	9.0	17.0847457627	8.004846277	1008	19239
