loss before update	loss after update	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
218.136	216.879	0.6165060997009277	0	30.5	15.9027374632	67.0	9.0	30.5	15.9027374632	1037	1037
246.089	245.285	1.0983145236968994	1	26.775	17.2503441995	101.0	11.0	26.775	17.2503441995	1071	2108
165.47	165.5	1.432640790939331	2	26.4736842105	13.2917402965	67.0	11.0	26.4736842105	13.2917402965	1006	3114
188.9	188.102	1.7540802955627441	3	28.1388888889	14.3704031834	84.0	11.0	28.1388888889	14.3704031834	1013	4127
190.953	191.271	2.2094473838806152	4	29.9411764706	14.2187555848	74.0	9.0	29.9411764706	14.2187555848	1018	5145
267.382	266.956	2.5325398445129395	5	32.5806451613	17.8303369489	96.0	12.0	32.5806451613	17.8303369489	1010	6155
338.269	338.47	2.9183549880981445	6	32.3548387097	20.2397698366	117.0	13.0	32.3548387097	20.2397698366	1003	7158
161.972	161.901	3.3956072330474854	7	30.1176470588	11.8340602795	58.0	13.0	30.1176470588	11.8340602795	1024	8182
295.317	295.236	3.9140868186950684	8	33.7333333333	19.9264202059	79.0	11.0	33.7333333333	19.9264202059	1012	9194
215.009	214.712	4.267740726470947	9	30.6363636364	15.8760696262	74.0	9.0	30.6363636364	15.8760696262	1011	10205
211.994	211.999	4.743703365325928	10	30.4705882353	14.1903763871	98.0	13.0	30.4705882353	14.1903763871	1036	11241
280.013	280.009	5.1348841190338135	11	38.037037037	17.0195562493	78.0	14.0	38.037037037	17.0195562493	1027	12268
173.161	172.972	5.416585206985474	12	30.6764705882	12.9062697674	61.0	12.0	30.6764705882	12.9062697674	1043	13311
249.803	248.973	5.741408824920654	13	36.1785714286	15.8069911554	84.0	17.0	36.1785714286	15.8069911554	1013	14324
221.573	221.825	6.04631781578064	14	31.875	15.2187179158	70.0	11.0	31.875	15.2187179158	1020	15344
281.351	281.02	6.420575857162476	15	35.0	18.2549001452	96.0	13.0	35.0	18.2549001452	1015	16359
387.148	386.572	6.825517892837524	16	39.1481481481	22.2589203154	111.0	12.0	39.1481481481	22.2589203154	1057	17416
369.802	369.754	7.263043403625488	17	41.28	21.4783984505	85.0	11.0	41.28	21.4783984505	1032	18448
220.52	220.744	7.683794975280762	18	33.6666666667	14.8869816357	70.0	13.0	33.6666666667	14.8869816357	1010	19458
318.936	318.519	8.04594612121582	19	38.0740740741	19.3370224946	93.0	15.0	38.0740740741	19.3370224946	1028	20486
558.209	554.805	8.540083885192871	20	41.64	27.4705369442	125.0	15.0	41.64	27.4705369442	1041	21527
184.881	185.204	8.894876956939697	21	34.5666666667	11.1465490424	63.0	16.0	34.5666666667	11.1465490424	1037	22564
256.217	256.421	9.238458156585693	22	38.5769230769	15.0055709576	76.0	13.0	38.5769230769	15.0055709576	1003	23567
355.855	355.965	9.634977579116821	23	37.9259259259	21.1203358663	112.0	14.0	37.9259259259	21.1203358663	1024	24591
196.542	196.645	9.996590614318848	24	31.65625	14.1213698322	68.0	13.0	31.65625	14.1213698322	1013	25604
284.035	283.555	10.33899998664856	25	40.72	16.9906327134	69.0	16.0	40.72	16.9906327134	1018	26622
233.656	233.786	10.747294902801514	26	36.1428571429	14.7083899423	72.0	19.0	36.1428571429	14.7083899423	1012	27634
396.623	396.704	11.37021017074585	27	40.56	22.4179927737	106.0	13.0	40.56	22.4179927737	1014	28648
403.038	402.763	12.087028741836548	28	40.9259259259	22.7171430225	107.0	17.0	40.9259259259	22.7171430225	1105	29753
317.598	317.543	12.72947645187378	29	37.7857142857	20.3756807824	80.0	12.0	37.7857142857	20.3756807824	1058	30811
391.868	391.856	13.441157817840576	30	44.25	21.3975271157	101.0	13.0	44.25	21.3975271157	1062	31873
328.873	328.911	13.831538677215576	31	38.0	19.8401015529	99.0	13.0	38.0	19.8401015529	1026	32899
308.432	308.402	14.410178422927856	32	41.52	16.4417030748	88.0	19.0	41.52	16.4417030748	1038	33937
291.993	291.633	14.822452545166016	33	40.92	15.6254151945	77.0	20.0	40.92	15.6254151945	1023	34960
200.019	199.774	15.274660587310791	34	36.2142857143	12.0189051761	56.0	11.0	36.2142857143	12.0189051761	1014	35974
365.73	365.507	15.685263395309448	35	40.8	21.4587977296	94.0	11.0	40.8	21.4587977296	1020	36994
291.278	291.292	16.259929418563843	36	38.5384615385	18.0985141108	74.0	12.0	38.5384615385	18.0985141108	1002	37996
497.714	497.815	16.705201387405396	37	47.2272727273	25.0398442817	119.0	12.0	47.2272727273	25.0398442817	1039	39035
261.719	261.549	17.028372049331665	38	38.8846153846	15.6262277624	76.0	12.0	38.8846153846	15.6262277624	1011	40046
242.245	242.103	17.36573839187622	39	37.9259259259	14.8870461362	72.0	15.0	37.9259259259	14.8870461362	1024	41070
438.859	438.613	17.77617311477661	40	42.32	23.9728513114	97.0	16.0	42.32	23.9728513114	1058	42128
231.173	231.238	18.154635906219482	41	36.7857142857	15.1194225675	65.0	13.0	36.7857142857	15.1194225675	1030	43158
330.188	330.183	18.70724582672119	42	42.24	18.9784720144	90.0	14.0	42.24	18.9784720144	1056	44214
304.65	304.579	19.283164262771606	43	38.6538461538	17.9313698213	100.0	20.0	38.6538461538	17.9313698213	1005	45219
336.163	335.933	19.863905906677246	44	38.7692307692	20.5675391975	91.0	14.0	38.7692307692	20.5675391975	1008	46227
324.272	324.186	20.35923171043396	45	42.0416666667	17.8336740622	94.0	11.0	42.0416666667	17.8336740622	1009	47236
411.654	411.131	21.00385332107544	46	40.28	22.7288715074	118.0	11.0	40.28	22.7288715074	1007	48243
365.789	365.414	21.472936630249023	47	38.7692307692	21.1247352142	100.0	13.0	38.7692307692	21.1247352142	1008	49251
237.719	237.621	21.87885856628418	48	35.75	14.9824301862	84.0	18.0	35.75	14.9824301862	1001	50252
594.912	588.848	22.39652919769287	49	42.4583333333	27.9731704297	140.0	16.0	42.4583333333	27.9731704297	1019	51271
500.844	500.968	23.066922903060913	50	50.05	23.4914346092	109.0	17.0	50.05	23.4914346092	1001	52272
441.02	441.62	23.535181760787964	51	42.12	24.8601206755	100.0	14.0	42.12	24.8601206755	1053	53325
334.887	335.351	23.887715101242065	52	40.24	19.8822131565	90.0	12.0	40.24	19.8822131565	1006	54331
210.172	210.153	24.18700385093689	53	34.6551724138	13.7521806724	67.0	12.0	34.6551724138	13.7521806724	1005	55336
254.576	254.394	24.512415647506714	54	36.8214285714	15.4782187316	82.0	14.0	36.8214285714	15.4782187316	1031	56367
249.892	249.683	24.88270854949951	55	33.7666666667	17.271717408	83.0	13.0	33.7666666667	17.271717408	1013	57380
